date	uid	event	value	timestamp
2013-02-01	38	visit	3	1359654000000
2013-02-01	2860	visit	6	1359654128229
2013-02-01	19	visit	2	1359654022616
2013-02-01	18281	visit	9	1359653844000
2013-02-01	18225	visit	0	1359654588160
2013-02-01	2860	visit	8	1359650440000
2013-02-01	18343	uninstall.	2	1359654328185
2013-02-01	121	visit	3	1359654564673
2013-02-01	427	visit	0	1359654409775
2013-02-01	18175	visit	6	1359654573000
2013-02-01	19	visit	2	1359654871652
2013-02-01	18247	install.	4	1359654878472
2013-02-01	18199	install.	3	1359654635891
2013-02-01	18227	install.	2	1359654673374
2013-02-01	18193	visit	6	1359654635160
2013-02-01	38	visit	3	1359654659000
2013-02-01	121	visit	2	1359654659000
2013-02-01	18348	uninstall.	0	1359655166537
2013-02-01	19	visit	8	1359655068966
2013-02-01	18285	visit	8	1359654825000
2013-02-01	18089	visit	8	1359654941773
2013-02-01	1262	visit	1	1359654981289
2013-02-01	18345	install.	8	1359655033579
2013-02-01	121	visit	4	1359654865000
2013-02-01	366	visit	0	1359654889000
2013-02-01	18273	visit	5	1359655023945
2013-02-01	18346	visit	2	1359655107753
2013-02-01	4205	visit	5	1359654903100
2013-02-01	19	visit	0	1359655162258
2013-02-01	18349	install.	2	1359655316112
2013-02-01	670	visit	0	1359655300195
2013-02-01	121	visit	4	1359655179000
2013-02-01	19	visit	1	1359655342563
2013-02-01	19	visit	2	1359655447475
2013-02-01	18108	visit	2	1359655218075
2013-02-01	18349	visit	1	1359655320941
2013-02-01	121	visit	0	1359654053000
2013-02-01	18108	install.	2	1359655214443
2013-02-01	38	visit	8	1359655235000
2013-02-01	18351	visit	6	1359655346709
2013-02-01	38	visit	7	1359655148000
2013-02-01	18351	install.	2	1359655346448
2013-02-01	427	visit	2	1359655385022
2013-02-01	38	visit	7	1359655106000
2013-02-01	19	visit	0	1359655604770
2013-02-01	38	visit	0	1359655343000
2013-02-01	18232	install.	5	1359655616983
2013-02-01	123	visit	9	1359655563000
2013-02-01	18354	uninstall.	1	1359655502184
2013-02-01	18353	visit	0	1359655611436
2013-02-01	18352	install.	3	1359655511674
2013-02-01	18176	visit	1	1359655983041
2013-02-01	1057	visit	9	1359655813000
2013-02-01	18176	install.	3	1359655982774
2013-02-01	18196	visit	6	1359655931488
2013-02-01	18334	install.	2	1359655969356
2013-02-01	18334	visit	1	1359655972996
2013-02-01	18359	install.	5	1359655847479
2013-02-01	18347	visit	0	1359656098336
2013-01-31	3567	visit	6	1359644716000
2013-02-01	18357	install.	6	1359656063245
2013-02-01	18296	visit	3	1359655897171
2013-02-01	121	visit	8	1359655805000
2013-02-01	1615	visit	2	1359656223440
2013-02-01	18363	install.	8	1359656367687
2013-02-01	18363	visit	0	1359656367946
2013-02-01	18185	install.	0	1359656506353
2013-02-01	18185	visit	1	1359656506613
2013-02-01	18365	visit	9	1359656598159
2013-02-01	1259	visit	1	1359656471034
2013-02-01	18365	visit	5	1359656596186
2013-01-31	942	visit	5	1359642010000
2013-02-01	38	visit	2	1359656313000
2013-02-01	121	visit	4	1359656630834
2013-02-01	121	visit	8	1359656312000
2013-02-01	18129	install.	2	1359656906850
2013-02-01	19	visit	4	1359656974965
2013-02-01	18364	visit	1	1359656996485
2013-02-01	121	visit	5	1359656756000
2013-02-01	19	visit	8	1359656805456
2013-02-01	18369	visit	8	1359656947500
2013-02-01	18370	visit	6	1359657234705
2013-02-01	18372	install.	4	1359657182951
2013-02-01	123	visit	3	1359656953000
2013-02-01	18372	visit	4	1359657186844
2013-02-01	18088	visit	2	1359657227469
2013-02-01	18119	install.	7	1359657142665
2013-02-01	19	visit	8	1359657131422
2013-02-01	19	visit	4	1359657240447
2013-02-01	18172	visit	6	1359657015545
2013-02-01	18347	visit	2	1359657059937
